Unnamed: 0,Xlig1_aver,B1,B2,TYPE,NH3_ligand,DG,index,DG-class,Unnamed: 8,KMeans_Cluster,DBSCAN_Cluster,Agglo_Cluster,Y=0.5*X+0.5*0.5*(B1+B2),variances,,,,,
PH2Ph-CN-OMe,1.96746988,2.795,2.518,0,1,4.7,50,2,,,,,2.31198494,0.034290815,,,,,
none-Ph-Ph,0,2.390909091,2.390909091,0,0,-13.6,51,1,,,,,1.195454546,0.033989683,,,,,
NH2Ph-CN-tBu,2.342971888,2.795,2.307692308,0,1,9,52,3,,,,,2.447159021,0.033864529,,,,,
none-OMe-OMe,0,2.518,2.518,0,0,5.7,53,3,,,,,1.259,0.033571574,,,,,
NH2C6F5-CN-Br,2.2,2.795,2.96,0,1,10.8,54,4,,,,,2.53875,0.032788947,,,,,
NH2Ph-C6F5-Et,2.342971888,3.2,2.3,0,1,11.8,55,4,,,,,2.546485944,0.032666563,,,,,
NH2C6F5-SiMe3-Et,2.2,2.257692308,2.3,0,1,30.8,56,4,,,,,2.239423077,0.031757055,,,,,
CAAC-tBu-SiMe3,2.157687651,2.307692308,2.257692308,0,3,32.1,57,4,,,,,2.22018998,0.031421175,,,,,
PH2F-Ph-OMe,1.784009547,2.390909091,2.518,0,2,13.3,58,4,,,,,2.119232046,0.031194516,,,,,
NH2C6F5-OMe-Et,2.2,2.518,2.3,0,1,2.5,59,2,,,,,2.3045,0.031129636,,,,,
CAAC-Et-tBu,2.157687651,2.3,2.307692308,0,3,30.95,60,4,,,,,2.230766903,0.030944074,,,,,
PH2F-CN-PMe2,1.784009547,2.795,2.276666667,0,2,30.7,61,4,,,,,2.15992144,0.030929678,,,,,
PH2F-Ph-PMe2,1.784009547,2.390909091,2.276666667,0,2,12.1,62,4,,,,,2.058898713,0.030658986,,,,,
CAAC-Br-NMe2,2.157687651,2.96,2.371111111,0,3,44.77,63,4,,,,,2.411621603,0.03042554,,,,,
none-CF3-Et,0,3.6225,2.3,0,0,-16.4,64,1,,,,,1.480625,0.030101454,,,,,
